                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.7431,                 1.4237,                 2.6923,                0.93374,                0.53263,                0.84914,                0.62051,                 3.0304,                 3.5725,                 2.4905,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 1.0229,                0.99165,                  1.858,                0.92971,                0.53298,                 0.8447,                0.61941,                 2.9034,                 3.6376,                 2.4324,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 1.2132,                 1.1244,                  2.087,                0.92971,                0.53298,                 0.8447,                0.61941,                 2.9034,                 3.6376,                 2.4324,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.8096,                 2.2415,                 2.6297,                0.92296,                0.54193,                0.84225,                0.61851,                 3.0855,                 3.5781,                 2.5609,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.5207,                 2.1513,                 2.2834,                0.92296,                0.54193,                0.84225,                0.61851,                 3.0855,                 3.5781,                 2.5609,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 1.6207,                 1.3356,                 2.6029,                0.91542,                0.55018,                0.84309,                0.61884,                 3.0345,                  3.734,                 2.4804,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.2913,                 1.3365,                 2.4552,                0.91542,                0.55018,                0.84309,                0.61884,                 3.0345,                  3.734,                 2.4804,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.4003,                0.89419,                 2.1868,                0.88705,                0.55441,                0.75913,                0.54387,                 3.0389,                  3.795,                 2.4837,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                  1.881,                 1.3594,                 2.6397,                0.88705,                0.55441,                0.75913,                0.54387,                 3.0389,                  3.795,                 2.4837,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.2439,                 1.2587,                 2.2729,                0.88705,                0.55441,                0.75913,                0.54387,                 3.0389,                  3.795,                 2.4837,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.6346,                  1.249,                 2.4588,                0.88008,                0.55598,                0.72998,                0.51844,                 3.1183,                 3.7273,                 2.5292,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.3231,                  1.172,                 2.0648,                0.88008,                0.55598,                0.72998,                0.51844,                 3.1183,                 3.7273,                 2.5292,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.7954,                 1.7442,                 2.8765,                0.88008,                0.55598,                0.72998,                0.51844,                 3.1183,                 3.7273,                 2.5292,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.5433,                 2.1591,                 2.5342,                0.87657,                0.55678,                0.72812,                0.51778,                 3.1345,                 3.7726,                  2.536,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.4969,                 1.8769,                 2.4017,                0.87657,                0.55678,                0.72812,                0.51778,                 3.1345,                 3.7726,                  2.536,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 1.3395,                  1.443,                 2.1257,                0.87657,                0.55678,                0.72812,                0.51778,                 3.1345,                 3.7726,                  2.536,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.9188,                 1.6292,                 3.0057,                0.86937,                0.55962,                 0.7132,                0.48864,                 3.1566,                 3.8222,                 2.5403,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 1.1993,                 1.1195,                 2.0924,                0.86937,                0.55962,                 0.7132,                0.48864,                 3.1566,                 3.8222,                 2.5403,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.1202,                 1.0223,                 1.8754,                0.86937,                0.55962,                 0.7132,                0.48864,                 3.1566,                 3.8222,                 2.5403,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                  1.405,                 1.3328,                 2.2111,                0.86028,                0.56392,                0.71239,                0.47849,                 3.1845,                 3.8774,                 2.5543,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 1.2427,                0.94616,                  2.073,                0.86028,                0.56392,                0.71239,                0.47849,                 3.1845,                 3.8774,                 2.5543,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 1.1388,                 1.3505,                 2.2779,                0.86028,                0.56392,                0.71239,                0.47849,                 3.1845,                 3.8774,                 2.5543,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 1.0579,                0.86932,                 1.9029,                0.86319,                0.56304,                 0.7044,                0.44876,                  3.217,                 3.9688,                 2.5657,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.3507,                 1.5138,                 2.0836,                0.86319,                0.56304,                 0.7044,                0.44876,                  3.217,                 3.9688,                 2.5657,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.6647,                 2.6253,                 2.4613,                0.86319,                0.56304,                 0.7044,                0.44876,                  3.217,                 3.9688,                 2.5657,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                  1.152,                 1.7319,                 2.0896,                0.86429,                0.56167,                0.67308,                0.43597,                 3.2556,                 4.0383,                 2.5803,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.6283,                 1.0149,                  2.576,                0.86429,                0.56167,                0.67308,                0.43597,                 3.2556,                 4.0383,                 2.5803,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.6496,                 2.1275,                 2.4253,                0.86429,                0.56167,                0.67308,                0.43597,                 3.2556,                 4.0383,                 2.5803,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 1.0378,                0.80634,                 2.0174,                0.87028,                 0.5594,                 0.6746,                0.43674,                 3.2308,                 4.1342,                 2.5839,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.1853,                 1.1636,                 1.9841,                0.87028,                 0.5594,                 0.6746,                0.43674,                 3.2308,                 4.1342,                 2.5839,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.3218,                0.82695,                 2.3254,                0.87028,                 0.5594,                 0.6746,                0.43674,                 3.2308,                 4.1342,                 2.5839,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.3078,                 0.7544,                 2.2317,                0.87743,                0.55873,                0.67459,                0.41955,                 3.2569,                 4.2037,                 2.5988,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.0932,                 1.2315,                 2.1559,                0.87743,                0.55873,                0.67459,                0.41955,                 3.2569,                 4.2037,                 2.5988,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 1.3629,                 1.1024,                 2.1973,                0.87743,                0.55873,                0.67459,                0.41955,                 3.2569,                 4.2037,                 2.5988,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 1.5404,                 1.5856,                 2.2272,                0.88186,                0.55942,                0.67378,                0.41939,                 3.2618,                 4.2204,                 2.6034,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 1.1986,                 1.0669,                 2.1379,                0.88186,                0.55942,                0.67378,                0.41939,                 3.2618,                 4.2204,                 2.6034,             2.1144e-05,             2.1144e-05,             2.1144e-05
